"","module_name","module_size","active_parent_overlap","active_strain_overlap","sterile_parent_overlap","sterile_strain_overlap","active_parentDML_pvalue","active_strainDML_pvalue","ster_parentDML_pvalue","ster_strainDML_pvalue"
"background","background","8323","0","0","0","0","1","1","1","1"
"ME2","ME2","854","0","0","0","0","0.999989277339905","0.99999999997107","0.989525997431918","0.999234438135645"
"ME4","ME4","905","0","0","0","0","0.999994804133589","0.99999999999378","0.992151426773257","0.999513899440163"
"ME10","ME10","439","0","0","0","0","0.996741604485911","0.999994664152925","0.897884408612873","0.972423607449786"
"ME16","ME16","80","0","0","0","0","0.639604776872196","0.885062808143364","0.334129873733808","0.472691567512384"
"ME6","ME6","494","0","0","0","0","0.998445330534492","0.99999888902401","0.923956142740303","0.982660305589248"
"ME18","ME18","71","0","0","0","0","0.595557311850815","0.853236149757687","0.30282181431482","0.433151093012222"
"ME15","ME15","124","0","0","0","0","0.795280772410174","0.965344967048085","0.468479641838127","0.630134599241649"
"ME8","ME8","709","0","0","0","0","0.999918116127574","0.99999999784107","0.976461057547261","0.997261601685195"
"ME12","ME12","394","0","0","0","0","0.994053448417152","0.999980891963943","0.870228934084974","0.959788458625426"
"ME5","ME5","604","0","0","0","0","0.999651637569851","0.999999953439757","0.958093587512845","0.993211879237035"
"ME9","ME9","480","0","0","0","0","0.998122173866526","0.999998341800664","0.918014241623307","0.980480626371547"
"ME11","ME11","349","0","0","0","0","0.989184708288536","0.999932071976373","0.835307772125927","0.941489595828676"
"ME19","ME19","73","0","0","0","0","0.605784856002962","0.860992426823056","0.309901003012458","0.442182761700429"
"ME17","ME17","82","0","0","0","0","0.648728336451054","0.89114363043404","0.340898522338262","0.48110237020001"
"ME1","ME1","967","0","0","0","0","0.999997861045012","0.999999999999054","0.99448850144375","0.999721333857711"
"ME7","ME7","390","0","0","0","0","0.993727854175919","0.999978605250723","0.867443428037992","0.958421703336644"
"ME14","ME14","146","0","0","0","0","0.845883008121664","0.981017388125111","0.525334725874287","0.690456473123369"
"ME3","ME3","861","0","0","0","0","0.999990289438099","0.999999999976558","0.989931552307756","0.999280573504217"
"ME13","ME13","319","0","0","0","0","0.98391571536059","0.999842412287843","0.807094273299727","0.924957137678793"
"ME0","ME0","1","0","0","0","0","0.0126156433978133","0.0265529256277784","0.00504625735912523","0.00792983299291106"
